year,month,ダイハツ,日野,ホンダ,いすゞ,マツダ,三菱,三菱ふそう,日産,ＳＵＢＡＲＵ,スズキ,トヨタ,UDトラックス,輸入車,合計
2018,1,2052,4599,26947,4833,14058,3004,2543,36045,9384,9085,109199,432,21254,243435
2018,2,2646,5558,34919,6101,14741,3326,3232,43283,10605,10450,133554,665,27585,296665
2018,3,3298,9764,49109,10449,29514,9251,5869,61060,16934,13916,181485,1153,46282,438084
2018,4,2240,4319,24156,4113,10640,2189,2817,25005,7110,10885,109373,662,21881,225390
2018,5,2371,4869,24691,4867,12944,2795,3068,28883,6537,9841,105832,697,28628,236023
2018,6,3025,6192,31822,5810,15482,3648,4112,35655,9859,11315,127878,1074,36889,292761
2018,7,3131,5240,29441,6263,12175,3106,3229,34381,10162,10883,136298,672,26895,281876
2018,8,2684,5279,22359,6427,11898,3050,3053,29296,8491,8331,106353,846,25291,233358
2018,9,3322,7615,32798,9676,18974,4711,3976,40614,12334,11175,124073,837,38219,308324
2018,10,3789,5288,29699,5235,11354,2804,2901,27707,10516,8759,127052,838,25612,261554
2018,11,2736,6248,31249,6548,15130,3431,3471,28720,9977,9335,132331,923,29495,279594
2018,12,3918,5840,26375,6425,12367,2487,4077,23480,7421,9310,109769,1175,38235,250879
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
