year,month,ダイハツ,日野,ホンダ,いすゞ,マツダ,三菱,三菱ふそう,日産,ＳＵＢＡＲＵ,スズキ,トヨタ,UDトラックス,輸入車,合計
2017,1,1123,12722,4380,30338,5103,13946,2301,2352,40324,8828,114916,577,21175,258085
2017,2,975,13218,5284,34267,6824,16027,2596,3278,44952,9183,147714,699,27018,312035
2017,3,1819,18496,11443,49847,13160,28751,5494,5878,64395,12834,200587,1366,46584,460654
2017,4,2215,3150,27428,4537,9069,1847,2696,23555,9495,8737,111703,637,19151,224220
2017,5,2255,3724,25120,4926,10200,2075,2863,28071,10839,8229,114136,696,24378,237512
2017,6,2997,5526,32968,6407,12993,3204,4286,34598,13140,9509,153422,1166,35528,315744
2017,7,2657,5342,32384,6599,14244,2523,3436,34160,11794,8726,131520,703,24429,278517
2017,8,2280,7771,25516,7641,10730,1992,3757,26620,10113,6527,105825,882,24156,233810
2017,9,3230,5419,36418,8915,19704,3420,4574,39254,13266,9323,133623,1010,40019,318175
2017,10,2622,4319,27841,5112,11300,1974,3236,12426,11191,7185,119716,904,23737,231563
2017,11,3041,5592,30571,6108,10246,2566,3458,20153,10289,7315,128314,1000,29511,258164
2017,12,2853,5828,26150,5652,13697,2083,4320,24841,9580,7416,123373,1218,35334,262345
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
